Empleado,Edad,Genero,Pais,Funcion Laboral,Departamento,A�os en la Empresa,Hs de Trabajo x Semana,Trabajo Remoto,Nivel de Agotamiento,Satisfaccion Laboral,Nivel de Stres,Puntuacion de Productividad,Hs de Sue�o,Hs. De actividad Fisica,Tiempo de Viaje,Tiene apoyo para la salud Mental,Puntacion del Gerente,Tiene Acceso a Terapia,Dias libres de Salud Mental,Rango Salarial,Puntuacion de equilibrio entre vida laboral y personal,Tama�o del Equipo,Puntuacion de crecimiento personal,Riesgo de Agotamiento
1040,41,Male,Germany,HR Specialist,Support,3,30,Yes,7.53,2.96,3.35,2.78,8.6,7.2,94,FALSE,4.19,FALSE,2,80K-100K,6.03,4,7.4,TRUE
1041,49,Non-binary,UK,Project Manager,Engineering,1,41,Hybrid,8.11,8.41,7.56,5.47,6.9,9.6,65,TRUE,1.15,FALSE,0,80K-100K,3.08,33,4.63,TRUE
1042,28,Non-binary,USA,Sales Associate,HR,6,45,Hybrid,3.6,6.24,7.45,7.35,4.6,3.1,48,FALSE,5.36,TRUE,7,100K+,2.19,27,9.55,FALSE
1043,29,Female,Brazil,Software Engineer,Sales,9,51,No,4.49,7.38,5.13,5.37,4.9,2.4,88,TRUE,2.86,FALSE,2,<40K,3.71,22,6.67,FALSE
1044,56,Prefer not to say,UK,Data Scientist,Sales,15,51,Yes,6.64,8.74,7.2,2.47,4.7,8.9,101,FALSE,6.83,FALSE,3,40K-60K,8.71,11,4.27,FALSE
1045,35,Female,Canada,Data Scientist,Sales,9,39,Yes,5.98,9.88,5,9.37,5.5,8.5,111,FALSE,6.25,TRUE,1,<40K,8.09,5,7.48,FALSE
1046,38,Prefer not to say,India,IT Admin,IT,17,47,Hybrid,9.65,3.25,4.02,3.96,5.9,3.3,18,TRUE,3.39,TRUE,7,100K+,6.81,10,8.55,TRUE
1047,57,Male,Brazil,Data Scientist,Marketing,16,44,No,2.68,2.63,5.2,8.09,8,0.7,27,FALSE,1.62,TRUE,2,40K-60K,1.81,3,8.2,FALSE
1048,25,Non-binary,India,Project Manager,Sales,20,46,Hybrid,4.16,5.16,9.06,9.02,5,9.9,69,FALSE,7.8,FALSE,1,<40K,9.59,15,3.36,FALSE
1049,23,Female,India,Software Engineer,Engineering,12,59,Hybrid,6.15,1.32,4.46,4.12,7.6,6.8,38,TRUE,6.27,TRUE,0,60K-80K,3.75,46,4.75,FALSE
1050,27,Female,UK,Sales Associate,Engineering,0,39,Yes,8.81,8.13,4.63,8.61,6.5,9.3,18,FALSE,8.58,TRUE,9,100K+,6.46,37,5.07,TRUE
1051,25,Prefer not to say,UK,Sales Associate,HR,0,32,Yes,9.36,8.95,6.48,7.4,9,3.4,115,FALSE,3.34,FALSE,1,60K-80K,8.23,40,4.5,TRUE
1052,50,Prefer not to say,Germany,Data Scientist,Engineering,14,55,Hybrid,4.02,7.17,7.78,9.14,7.9,6.5,63,TRUE,6.88,TRUE,1,60K-80K,2.2,17,3.8,FALSE
1053,39,Female,India,Software Engineer,Support,0,59,No,1.6,3.41,7.61,3.26,8.8,6.7,57,FALSE,2.07,TRUE,3,<40K,6.87,20,7.77,FALSE
1054,47,Prefer not to say,Germany,Software Engineer,HR,5,50,No,4.79,2.11,1.18,9.38,5.7,8.7,16,TRUE,3.63,TRUE,0,40K-60K,1.29,4,1.11,FALSE
1055,55,Female,India,Software Engineer,HR,12,45,Hybrid,4.55,4.44,7.19,1.59,4.6,9.9,69,TRUE,6.91,TRUE,0,80K-100K,1.92,34,3.64,FALSE
1056,31,Female,Germany,HR Specialist,Sales,0,35,Hybrid,9.88,8.5,5.05,8.14,6.5,1.1,78,TRUE,8.43,FALSE,5,80K-100K,7.51,34,2.27,TRUE
1057,57,Female,Germany,HR Specialist,Marketing,4,32,No,4.88,4.13,5.72,4.92,4.6,6.3,85,TRUE,3.89,FALSE,4,100K+,2.4,31,2.16,FALSE
1058,35,Male,Canada,Data Scientist,HR,8,38,No,3.75,1.31,6.05,2.6,6.5,3.4,40,TRUE,8.19,FALSE,0,60K-80K,4.99,34,3.49,FALSE
1059,52,Prefer not to say,Germany,Software Engineer,IT,16,40,No,4.29,3.47,7.59,1.71,5.3,8.1,97,TRUE,7.1,TRUE,5,100K+,3.23,3,7.86,FALSE
1060,36,Non-binary,UK,Marketing Manager,HR,15,50,Hybrid,4.57,9.91,8.48,4.51,6.5,7.5,4,TRUE,4.14,TRUE,7,<40K,4.79,28,9.72,FALSE
1061,29,Non-binary,Germany,Software Engineer,Sales,7,42,Yes,8.39,7.09,6.82,4.5,8.7,8.9,116,TRUE,8.89,TRUE,4,60K-80K,1.69,41,5.63,TRUE
1062,35,Prefer not to say,India,Sales Associate,Support,16,47,No,1.73,9.11,6.08,3.07,5.4,3.4,22,TRUE,5.58,FALSE,2,80K-100K,7.79,37,4.05,FALSE
1063,44,Female,Germany,Sales Associate,Sales,14,55,No,3.85,7.97,4.36,2.94,9,1.8,68,TRUE,6.83,TRUE,2,<40K,1.71,29,8.46,FALSE
1064,42,Non-binary,USA,Data Scientist,Engineering,0,51,No,9.7,5.86,2.24,4.6,5.1,0.2,107,TRUE,5.46,FALSE,1,<40K,8.54,15,1.6,TRUE
1065,37,Non-binary,Australia,Marketing Manager,HR,11,57,Hybrid,2.38,2.34,9.63,4.69,5,2.6,9,TRUE,5.07,FALSE,8,100K+,6.96,36,1.84,FALSE
1066,39,Prefer not to say,India,Software Engineer,IT,4,53,Yes,7.68,4.14,5.16,4.98,6.7,3.7,67,TRUE,8.63,TRUE,8,100K+,4.75,35,4.11,TRUE
1067,45,Non-binary,USA,Customer Support,Sales,5,56,Yes,4.21,6.25,6.1,8.82,8.2,9.5,11,FALSE,3.65,TRUE,6,40K-60K,8.8,41,5.04,FALSE
1068,47,Female,India,Marketing Manager,IT,0,51,No,6.24,8.84,7.76,6.5,7.7,4.9,110,TRUE,1.33,TRUE,0,80K-100K,2.68,10,8.18,FALSE
1069,46,Prefer not to say,UK,IT Admin,Support,0,33,Hybrid,1.9,3.42,1.62,1.18,7.6,5.6,9,TRUE,8.92,FALSE,0,80K-100K,3.38,17,9.33,FALSE
1070,50,Female,Australia,Data Scientist,Sales,9,51,Yes,3.76,2.09,8.7,5.67,5.4,8.8,59,TRUE,8.43,TRUE,3,100K+,2.23,30,5.78,FALSE
1071,36,Non-binary,Australia,Sales Associate,IT,9,53,Hybrid,5.51,6.03,8.17,7.86,4.1,8.9,29,FALSE,4.3,TRUE,1,80K-100K,4.43,8,5.46,FALSE
1072,22,Non-binary,UK,Customer Support,Support,2,37,Yes,3.09,2.59,7.97,1.51,4.8,5.3,113,TRUE,2.67,TRUE,2,80K-100K,9.88,23,2.92,FALSE
1073,46,Female,Australia,Sales Associate,HR,16,42,No,5.88,6.49,1.2,4.8,5.7,1.1,23,FALSE,7.08,TRUE,1,<40K,2.45,19,5.06,FALSE
1074,28,Male,UK,HR Specialist,IT,18,39,Hybrid,2.98,3.37,5.74,5.06,8.9,2.7,68,TRUE,1.71,TRUE,0,60K-80K,8.48,37,9.31,FALSE
1075,30,Non-binary,USA,Data Scientist,HR,10,31,No,6.85,3.08,1.49,9.59,8.6,4.6,12,FALSE,4.81,FALSE,2,60K-80K,6.87,43,4.54,FALSE
1076,45,Male,Canada,Data Scientist,Marketing,17,37,Yes,9.14,4.59,5.96,5.28,5,7.5,99,FALSE,1.77,TRUE,6,40K-60K,1.14,36,2.9,TRUE
1077,22,Non-binary,India,Software Engineer,Sales,1,35,Yes,1.77,6.34,7.47,7.75,7.6,7.1,8,FALSE,6.38,FALSE,9,60K-80K,9.5,4,4.04,FALSE
1078,29,Male,UK,Software Engineer,Sales,8,45,No,2.95,5.91,2.1,3.73,6.9,6.4,17,FALSE,1.24,FALSE,8,80K-100K,9.74,26,5.63,FALSE
1079,45,Male,India,HR Specialist,Marketing,16,47,Yes,8.6,3.2,7.25,8.01,4.2,8.8,34,FALSE,6.66,TRUE,9,<40K,9.32,47,6.39,TRUE
1080,32,Male,USA,Customer Support,Marketing,13,46,No,6.68,9.02,5.05,3.9,5.9,8,94,TRUE,7.06,FALSE,8,60K-80K,5.52,40,4.89,FALSE
1081,38,Female,Canada,IT Admin,Marketing,3,35,No,1.71,1.99,8.3,4.87,6.4,9.8,87,TRUE,5.38,FALSE,7,80K-100K,2.98,27,7.83,FALSE
1082,29,Male,USA,Project Manager,HR,16,42,No,5.38,1.36,5.8,5.32,7.3,8.9,106,TRUE,2.58,TRUE,5,80K-100K,4.52,13,6.26,FALSE
1083,56,Male,Australia,Marketing Manager,HR,16,52,Yes,2.89,6.42,4.03,9.34,5.5,2,3,FALSE,1.91,FALSE,0,100K+,6.53,44,6.99,FALSE
1084,56,Male,India,Project Manager,IT,11,43,Hybrid,2.79,2.11,3.99,1.48,8.7,0.6,40,FALSE,3.82,FALSE,7,100K+,4.41,34,8.77,FALSE
1085,54,Non-binary,Brazil,Project Manager,Engineering,19,59,No,9.47,5.54,9.08,2.77,6.3,4.1,25,FALSE,5.19,FALSE,7,60K-80K,7.37,33,8.79,TRUE
1086,26,Male,Canada,Data Scientist,Support,17,55,Hybrid,7.85,9.57,5.08,7.35,5.2,6.2,43,FALSE,6.78,FALSE,8,100K+,8.16,46,2.83,TRUE
1087,49,Non-binary,Australia,Marketing Manager,Engineering,2,50,Yes,7.27,7.29,4.65,6.2,5.6,6.4,41,TRUE,1.01,TRUE,9,80K-100K,2.88,26,6.61,TRUE
1088,28,Male,Canada,Data Scientist,HR,10,59,Yes,3.15,6.56,1.36,3.26,7.8,2.7,9,FALSE,7.4,FALSE,5,80K-100K,4.64,20,7.45,FALSE
1089,30,Male,Australia,IT Admin,Engineering,17,39,Hybrid,2.07,6.17,4.28,3.6,7.2,8.6,104,TRUE,7.41,TRUE,2,100K+,9.62,8,2.31,FALSE
1090,29,Female,USA,Marketing Manager,Sales,3,53,No,8.84,2.62,8.65,4.31,7.7,3.3,105,FALSE,5,FALSE,5,<40K,3.25,16,8.58,TRUE
1091,33,Non-binary,UK,Sales Associate,Sales,16,40,Yes,1.05,4.89,7.85,5.05,5.5,9.2,72,FALSE,4.09,FALSE,7,100K+,4.12,5,2.62,FALSE
1092,55,Male,India,Data Scientist,Sales,17,42,No,4.49,4.08,2.99,8.36,5.6,4.7,0,FALSE,8.58,TRUE,6,<40K,1.32,34,8.19,FALSE
1093,54,Non-binary,Germany,Data Scientist,HR,4,41,No,3.5,9.58,4.72,1.12,6,0.1,53,FALSE,8.06,FALSE,7,100K+,3.99,47,2.45,FALSE
1094,44,Non-binary,Germany,Data Scientist,Sales,13,38,Hybrid,6.13,3.18,2.77,9.08,4.9,1.6,15,FALSE,9.85,FALSE,2,80K-100K,4.34,27,7.68,FALSE
1095,45,Prefer not to say,USA,Customer Support,Marketing,9,33,Yes,3.25,5.24,9.59,4.72,7.5,1,45,TRUE,4.35,TRUE,7,80K-100K,1.9,36,2.33,FALSE
1096,58,Female,India,HR Specialist,IT,14,36,Hybrid,3.8,9.44,6.38,3.07,5.6,0.4,12,FALSE,9.16,TRUE,4,100K+,1.01,4,4.41,FALSE
1097,56,Female,India,Data Scientist,Marketing,0,53,Yes,8.65,8.1,7.79,5.58,5.6,7.1,101,TRUE,1.79,TRUE,6,40K-60K,6.18,42,2.29,TRUE
1098,43,Female,USA,IT Admin,Sales,15,58,Hybrid,6.43,9.68,7.42,6.94,5.3,1.9,63,TRUE,4.7,TRUE,3,<40K,3.71,7,3.44,FALSE
1099,48,Prefer not to say,India,Software Engineer,Support,10,51,Yes,2.31,6.47,8.86,1.4,6.3,8.4,77,FALSE,5.19,TRUE,2,40K-60K,1.16,37,9.86,FALSE
1100,56,Prefer not to say,UK,Software Engineer,IT,19,31,Yes,7.54,4,9.54,7.44,7.9,2.6,103,FALSE,4.97,TRUE,5,80K-100K,8.74,36,1.97,TRUE
1101,22,Female,USA,Marketing Manager,Engineering,5,36,Yes,2.87,8.44,1.29,7.85,8.2,0.3,86,FALSE,6.63,TRUE,8,<40K,6.26,24,4.66,FALSE
1102,56,Prefer not to say,UK,Sales Associate,Marketing,15,58,No,4.9,3.62,9.78,2.5,8,8.2,54,FALSE,2.53,TRUE,3,100K+,2.54,15,7.09,FALSE
1103,58,Prefer not to say,India,HR Specialist,IT,1,38,No,6.82,2.48,8.83,2.51,7.1,4.7,62,FALSE,8.8,FALSE,8,<40K,8.79,49,1.85,FALSE
1104,35,Prefer not to say,USA,Customer Support,Engineering,0,34,Hybrid,3.45,7.36,4.45,2.83,5.4,6,17,FALSE,5.97,TRUE,2,<40K,3.28,6,1.98,FALSE
1105,24,Female,India,Marketing Manager,Marketing,8,44,Hybrid,4.46,6.75,8.53,8.17,7.7,3.4,60,TRUE,9.14,FALSE,5,60K-80K,3.05,26,2.29,FALSE
1106,22,Female,USA,Software Engineer,HR,11,47,Yes,7.61,8.91,7.63,3.45,4.2,0.5,91,TRUE,1.02,FALSE,4,<40K,9.05,26,6.8,TRUE
1107,26,Female,India,HR Specialist,Marketing,16,33,Yes,9.44,9.66,8.14,8.16,8,3.7,19,FALSE,6.67,FALSE,8,80K-100K,2.62,25,9.18,TRUE
1108,47,Prefer not to say,UK,HR Specialist,Engineering,14,48,No,5.76,8.71,2.99,5.86,7.9,5.2,64,FALSE,4.71,TRUE,5,40K-60K,8.91,33,8.43,FALSE
1109,35,Female,Brazil,Sales Associate,HR,18,49,No,1.09,1.54,6.84,7.9,7.4,0.1,63,TRUE,5.55,TRUE,1,40K-60K,8.23,3,9.85,FALSE
1110,48,Prefer not to say,UK,IT Admin,Support,9,55,No,4.05,6.98,1.23,5.98,4.5,5.7,75,TRUE,7.69,FALSE,3,100K+,3.79,9,6.2,FALSE
1111,30,Male,India,HR Specialist,Support,11,36,Hybrid,4.59,8.06,8.63,4.02,9,8.9,90,TRUE,3.04,TRUE,4,60K-80K,1.31,37,9.65,FALSE
1112,36,Prefer not to say,USA,Data Scientist,Marketing,13,55,No,4.05,9.84,9.56,9.2,7.8,2.2,63,FALSE,2.84,TRUE,8,40K-60K,1.74,38,3.74,FALSE
1113,36,Non-binary,Germany,HR Specialist,Marketing,8,37,Hybrid,4.93,4.37,6.96,7.44,7.7,9.3,106,TRUE,7.33,TRUE,0,40K-60K,1.99,30,4.79,FALSE
1114,47,Female,UK,Sales Associate,Marketing,12,46,No,6.69,2.53,5.61,5.36,4.3,1,12,FALSE,5.69,TRUE,8,<40K,9.02,27,4.56,FALSE
1115,34,Female,UK,Marketing Manager,Support,2,42,No,2.09,8.68,7.53,6.74,6,8.3,118,FALSE,3.1,FALSE,9,80K-100K,4.64,13,1.43,FALSE
1116,53,Non-binary,Australia,Sales Associate,Sales,20,53,Yes,3.45,3.86,3.94,6.54,4.4,8.4,67,TRUE,5.36,TRUE,0,80K-100K,1.29,23,8.47,FALSE
1117,53,Prefer not to say,Germany,Customer Support,Engineering,13,50,Hybrid,5.57,6.38,6.64,4.22,5.8,2.6,88,TRUE,5.14,FALSE,0,100K+,6.01,3,1.22,FALSE
1118,25,Male,India,Sales Associate,IT,20,57,No,3.84,4.51,7.47,4.81,6.9,9.6,69,TRUE,7.22,TRUE,3,80K-100K,2.87,23,7.57,FALSE
1119,51,Non-binary,Brazil,Software Engineer,Engineering,9,52,Yes,9.92,4.62,2.28,3.86,8.4,4.2,117,FALSE,1.02,FALSE,5,40K-60K,3.12,35,4.66,TRUE
1120,58,Non-binary,USA,Data Scientist,Sales,15,40,Hybrid,4.88,7.59,2.26,10,5.4,1.4,56,FALSE,6.28,FALSE,1,<40K,2.45,24,1.06,FALSE
1121,44,Prefer not to say,Australia,IT Admin,Marketing,6,56,Hybrid,8.83,4.25,7.45,6.22,7.1,5.9,44,TRUE,6.45,TRUE,0,80K-100K,7.86,37,3.61,TRUE
1122,36,Female,India,Software Engineer,Sales,3,30,No,9.07,7.24,4.89,1.83,4.8,10,119,FALSE,7.71,TRUE,3,60K-80K,1.01,12,4.12,TRUE
1123,50,Prefer not to say,Canada,Marketing Manager,IT,19,31,Hybrid,8.52,1.13,9,5.67,5.8,9,85,TRUE,9,FALSE,7,60K-80K,4.95,20,9.68,TRUE
1124,57,Non-binary,Brazil,Project Manager,Marketing,10,46,Yes,1.42,3.92,3.81,1.45,8.7,2.8,108,FALSE,4.96,FALSE,5,60K-80K,1.78,18,6.95,FALSE
1125,34,Non-binary,UK,Marketing Manager,Sales,15,34,Yes,9.53,3.87,1.38,3.6,7.7,5.8,37,TRUE,4.08,TRUE,4,80K-100K,5.97,7,5.89,TRUE
1126,53,Female,Canada,Data Scientist,Marketing,19,59,Hybrid,2.16,7.74,6.85,5.01,6.7,1.2,53,FALSE,1.92,TRUE,0,<40K,4.11,26,2.14,FALSE
1127,28,Female,UK,HR Specialist,Marketing,3,59,Yes,1.31,3.83,7.16,5.81,5.3,4.6,35,TRUE,4.03,TRUE,2,80K-100K,1.26,12,4.52,FALSE
1128,43,Female,UK,Sales Associate,Marketing,16,35,Hybrid,4.73,6.7,5.98,9.79,5.9,5.2,116,FALSE,1.62,TRUE,6,40K-60K,5.15,34,1.32,FALSE
1129,49,Prefer not to say,Canada,Project Manager,Marketing,12,55,Yes,2.75,7.2,7.15,9.84,4.8,3.2,66,FALSE,8.23,FALSE,9,80K-100K,6.14,48,7.86,FALSE
1130,23,Female,Brazil,Data Scientist,IT,10,54,Hybrid,2.66,6.93,5.71,1.88,5.8,4.8,78,FALSE,8.26,TRUE,2,60K-80K,3.23,32,2.46,FALSE
1131,27,Non-binary,Canada,Software Engineer,Engineering,2,53,Hybrid,3.59,6.43,7.23,5.84,4.8,9.2,10,TRUE,4.76,TRUE,4,60K-80K,7.89,30,6.35,FALSE
1132,49,Non-binary,India,Sales Associate,HR,8,36,Hybrid,3.24,4.72,1.4,8.35,8,5,97,FALSE,3.34,TRUE,5,<40K,4.34,2,7.29,FALSE
1133,49,Male,Australia,Marketing Manager,Marketing,5,57,Yes,7.16,4.36,4.32,3.14,4.4,8.3,26,FALSE,2.06,FALSE,8,100K+,7.74,8,4.3,TRUE
1134,41,Prefer not to say,Australia,Software Engineer,Engineering,20,50,Hybrid,2.68,6.08,2.9,7.76,4.9,3.2,86,TRUE,8.66,TRUE,2,60K-80K,6.21,33,6.69,FALSE
1135,51,Male,Canada,Data Scientist,Support,10,59,Hybrid,5.89,1.57,1.89,8.91,7.5,9.7,16,TRUE,8.9,FALSE,5,60K-80K,8.82,46,7.88,FALSE
1136,32,Non-binary,India,Data Scientist,Support,15,44,No,9.88,8.88,3.11,6.96,8.5,0.9,86,FALSE,3.4,TRUE,1,100K+,5.92,42,2.66,TRUE
1137,49,Male,Australia,Marketing Manager,IT,18,48,No,4.89,8.43,2.72,3.95,8.8,5.9,97,FALSE,6.6,FALSE,8,80K-100K,2.67,30,6.41,FALSE
1138,46,Non-binary,India,Project Manager,Engineering,4,45,Hybrid,6.78,4.12,9.76,9.31,8.2,7.9,84,TRUE,3.33,FALSE,8,60K-80K,8.4,45,7.6,FALSE
1139,54,Male,India,Marketing Manager,Sales,13,54,No,9.72,6.1,3.58,8.95,5.1,8.1,32,FALSE,3.03,TRUE,6,<40K,8.05,42,4.21,TRUE
1140,22,Female,UK,HR Specialist,HR,16,42,Hybrid,2.24,9.39,3.08,7.44,5.4,2,4,FALSE,1.19,FALSE,8,80K-100K,9.75,45,2.46,FALSE
1141,48,Male,Australia,Software Engineer,IT,2,34,No,4.77,3.44,8.51,4.27,8.4,4,115,TRUE,6.19,FALSE,3,80K-100K,1.84,28,3.58,FALSE
1142,34,Female,Australia,Project Manager,Sales,3,32,Yes,8.65,7.68,4.77,8.13,8.4,6.2,80,TRUE,2.35,TRUE,9,60K-80K,6.32,13,9.4,TRUE
1143,24,Female,UK,Sales Associate,Marketing,15,32,Yes,9.39,1.74,4.79,3.84,7.2,3.2,61,TRUE,1.11,FALSE,0,80K-100K,5.43,24,4.22,TRUE
